GROUP_NAME,PRACTICE_ADDR_1,PRACTICE_ADDR_2,PRACTICE_CITY,PRACTICE_STATE,PRACTICE_ZIP,Latitude,Longitude
"Offerman, Joop, MD",6740 Reynolds Street,,Pittsburgh,PA,15206,40.45024,-79.914426
MedExpress Urgent Care PC Pennsylvania,695 Clairton Boulevard,,Pleasant Hills,PA,15236,40.328865,-79.944542
Sewickley Valley Pediatric and Adolescent Medicine PC,701 Broad Street,Suite 422,Sewickley,PA,15143,40.542164,-80.177104
Sto Rox Neighborhood Hlth Council Inc PCP,710 Thompson Avenue,,Mc Kees Rocks,PA,15136,40.465006,-80.06288
Community Primary Care,7110 Church Road,,Pittsburgh,PA,15202,40.419746,-79.895141
UPP Ped Adolescent Medcn,7150 Highland Drive,,Pittsburgh,PA,15206,40.478367,-79.899641
DeGiovanni Montini Associates,717 Washington Road,,Pittsburgh,PA,15228,40.379659,-80.044701
East Liberty Family Health Care Center,7171 Churchland Street,,Pittsburgh,PA,15206,40.470112,-79.89441
Penn Plum Family Medicine UPMC,7175 Saltsburg Road,,Pittsburgh,PA,15235,40.476339,-79.789493
Pittsburgh HD VAMC,7180 Highland Drive,,Pittsburgh,PA,15206,40.481609,-79.902839
"Chen, Anne, MD",7197 Saltsburg Road,,Pittsburgh,PA,15235,40.477231,-79.78883
HVMG The Heart and Vascular Center Leetsdale,720 Blackburn Road,,Sewickley,PA,15143,40.543454,-80.177601
MedExpress Urgent Care PC Pennsylvania,7219 McKnight Road,Suite F,Pittsburgh,PA,15237,40.537972,-80.013336
Primary Care Health Services Group Practice,7227 Hamilton Avenue,,Pittsburgh,PA,15208,40.454588,-79.896213
"Loya, Lauren D MD",730 Holiday Drive,Suite 140,Pittsburgh,PA,15220,40.421988,-80.063758
Univ Endocrinology Svc,733 Washington Road,Suite 204,Pittsburgh,PA,15228,40.379093,-80.044883
Office Based Anesthesia Solutions Inc,748 North Negley Avenue,,Pittsburgh,PA,15206,40.471245,-79.926001
Greater Pittsburgh Med Assoc UPMC,7555 Saltsburg Road,,Pittsburgh,PA,15235,40.476525,-79.781392
"Nelson, Lawrence J MD",777 Clairton Blvd,,Pittsburgh,PA,15236,40.325158,-79.943952
KND Development 59 LLC,7777 Steubenville Pike,,Oakdale,PA,15071,40.438642,-80.2087
Ramesh Pandey MD,803 Miller Avenue,,Clairton,PA,15025,40.287321,-79.88432
Office Based Anesthesia Solutions Inc,805 Jefferson Avenue,,Natrona Heights,PA,15065,40.632145,-79.712411
Primary Care Health Services Group Practice,807 Wallace Avenue,Hosanna House-Suite #203,Wilkinsburg,PA,15221,40.441736,-79.881994
"Ho, Yee C MD",810 Wood Street,Suite 1,Pittsburgh,PA,15221,40.442408,-79.88518
AGH Internal Medicine,811 Camp Horne Road,,Pittsburgh,PA,15237,40.523431,-80.073755
Comprehensive Care Associates UPMC,811 West View Park Drive,,West View,PA,15229,40.516783,-80.033056
Carnegie Pediatrics,813 Washington Avenue,,Carnegie,PA,15106,40.402209,-80.082833
Univ Ear Nose Throat Specialists,815 Freeport Road,,Pittsburgh,PA,15215,40.489286,-79.895994
GMA Koman and Kimmell Family Practice,8150 Perry Highway,Suite 101,Pittsburgh,PA,15237,40.555355,-80.038837
North Side Christian Health Center,816 Middle Street,,Pittsburgh,PA,15212,40.455234,-79.999412
Advanced Nephrology Associates PC,824 California Avenue,,Pittsburgh,PA,15202,40.499617,-80.065179
Alle Kiski Medical Associates,831 Pittsburgh Street,,Springdale,PA,15144,40.541465,-79.778819
Kids Plus Pediatrics PC,850 Clairton Boulevard,Suite 1200,Pittsburgh,PA,15236,40.322326,-79.944112
MedExpress Urgent Care PC Pennsylvania,8702 University Boulevard,,Moon Township,PA,15108,40.506125,-80.223605
CCP South Hills,88 Fort Couch Road,Suite 100,Pittsburgh,PA,15241,40.339237,-80.051253
Northern Medical Associates UPMC,880 Butler Street,Route 8,Pittsburgh,PA,15223,40.5072,-79.94612
Pefha Health and Wellness Ctr PC,8989 Frankstown Road,,Pittsburgh,PA,15235,40.461047,-79.867008
Greater Pittsburgh Med Assoc UPMC,900 Mount Royal Boulevard,,Pittsburgh,PA,15223,40.515619,-79.95877
Pediatric Alliance PC Arcadia Division,9000 Perry Highway,Suite 120,Pittsburgh,PA,15237,40.570596,-80.036822
Family Prac Med Ctr,907 Washington Avenue,,Carnegie,PA,15106,40.400664,-80.082519
University Gastroenterology,9100 Babcock Boulevard,,Pittsburgh,PA,15237,40.573319,-80.014525
UPP Department of Surgery,9100 Babcok Boulevard,,Pittsburgh,PA,15237,40.556912,-80.019956
UPP Department of Surgery,9102 Babcock Boulevard,Suite 202,Pittsburgh,PA,15237,40.572182,-80.016407
Gordon Gold MD and Assoc UPMC,9104  Babcock Boulevard,Suite 3105,Pittsburgh,PA,15237,40.572315,-80.016451
GMA William Zillweger Med Prac,9104 Babcock Blvd,Suite 3111,Pittsburgh,PA,15237,40.572315,-80.016451
James W Boyle MD and Associates UPMC,9104 Babcock Boulevard,Suite 1106,Pittsburgh,PA,15237,40.572315,-80.016451
Campbell and Philbin Assoc,92 Bradford Avenue,,Pittsburgh,PA,15205,40.433562,-80.065537
"Castiglione, Angelo MD",924 Main Street,,Sharpsburg,PA,15215,40.494718,-79.932679
"Nellas, Constantine L MD",925 Brighton Road,,Pittsburgh,PA,15233,40.453037,-80.014772
Mercy Behavioral Health,925 Penn Avenue,,Pittsburgh,PA,15222,40.444224,-79.997339
Valley Family Medc UPMC,928 Route 910,,Cheswick,PA,15024,40.58099,-79.866275
Allegheny Center For Digestive Health,9335 Mc Knight Road,,Mc Knight,PA,15237,40.53537,-80.010444
North Hills Internal Medicine,9335 McKnight Road,1st Floor,Pittsburgh,PA,15237,40.556912,-80.019956
HVMG The Heart and Vascular Center Leetsdale,935 Thorn Run Road,,Coraopolis,PA,15108,40.518401,-80.166725
University Cardiology Service,9365 McKnight Road,Suite 700,Pittsburgh,PA,15237,40.57461,-80.025499
University Cardiology Service,9380 McKnight Road,Suite 201,Pittsburgh,PA,15237,40.575952,-80.024742
Office Based Anesthesia Solutions Inc,9400 McKnight Road,Suite 103,Pittsburgh,PA,15237,40.576901,-80.025514
"Klug, Gerald D MD",944 Beaver Grade Rd,,Coraopolis,PA,15108,40.509999,-80.213038
Negrini Medical Associates,9500 Brooktree Road,Suite 100,Wexford,PA,15090,40.614562,-80.058355
"Zioncheck, Roger MD PC",955 Rivermont Drive,,Pittsburgh,PA,15207,40.40771,-79.93043
University Cardiology Service,969 Greentree Road,,Pittsburgh,PA,15220,40.420345,-80.044964
West Hills Pediatrics LLC,974 Beaver Grade Road,,Moon Township,PA,15108,40.507339,-80.210202
"Hepler Smith, Michael MD",9800 A McKnight Rd,Ste 204,Pittsburgh,PA,15237,40.586508,-80.038441
"Clark, Brent E., MD",9816 Frankstown Road,Suite 101,Pittsburgh,PA,15235,40.462628,-79.856428
Medical Center Clinic,9930 Grubbs Road,Suite 200,Wexford,PA,15090,40.591637,-80.01693
McGinnis Thoracic and Cardiovascular Associates,995 Beaver Grade Road,Suite 2B,Coraopolis,PA,15108,40.506001,-80.207537
Greentree Medical Center PC,995 Greentree Road,,Pittsburgh,PA,15220,40.417406,-80.044791
Mercy Behavioral Health,9983 Perry Highway,,Wexford,PA,15090,40.591551,-80.046949
Clearfield Jefferson Primary Care Assoc PC,Fifth Ave,Suite 1122,Pittsburgh,PA,15222,40.447526,-79.993398
University Neonatology Associates,Forbes & Halket Streets,,Pittsburgh,PA,15213,40.437068,-79.95953
United Physicians,Four Allegheny Center,10th Floor,Pittsburgh,PA,15212,40.482805,-80.036726
"Black, Judith Sherman  MD",Longwood at Oakmont,500 Route 909,Verona,PA,15147,40.526673,-79.808362
HVMG Billing,Ohio River Blvd,Suite 2A,Leetsdale,PA,15056,40.563123,-80.208393
Upp Ped Child Dev Unit,One Hospital Drive,4401 Penn Avenue,Pittsburgh,PA,15224,40.467315,-79.95359
Allegheny Center For Digestive Health,One Walsh Road,,Pittsburgh,PA,15205,40.44177,-80.087015
"Jannelli, Dorothy F MD",Penn Avenue Place,,Pittsburgh,PA,15222,40.447526,-79.993398
HVMG The Heart and Vascular Center Leetsdale,Robinson Plaza Three,Suite 210 B,Pittsburgh,PA,15205,40.44177,-80.087015
First Steps Pediatrics and Adolescent Medicine,Route 60 and Park Manor Drive,Suite 100,Pittsburgh,PA,15205,40.44177,-80.087015
Univ Infectious Disease Svc,University Drive,Suite C,Pittsburgh,PA,15240,40.488899,-79.890069
Pittsburgh VA Medical Group,University Drive 111 C-U,,Pittsburgh,PA,15240,40.488899,-79.890069
Pittsburgh VA Medical Group,University Drive C,,Pittsburgh,PA,15240,40.445036,-79.958921
Pittsburgh VA Medical Group,University Drive C-124E-U,,Pittsburgh,PA,15213,40.437926,-79.955642
HVMG The Heart and Vascular Center Leetsdale,Wexford Bayne Rd,Suite 206,Sewickley,PA,15143,40.536485,-80.184424
Adler and Krause Card Med Assoc,Yost at Ardmore Boulevard,Suite 217,Pittsburgh,PA,15221,40.436883,-79.857683
